27/01/2001,1,2,5,20,27,33
03/02/2001,1,2,11,15,32,34
10/02/2001,11,13,27,30,32,39
17/02/2001,15,20,21,29,32,44
24/02/2001,3,6,16,22,38,44
03/03/2001,17,21,26,31,39,40
10/03/2001,1,12,22,29,31,33
17/03/2001,5,14,18,38,40,45
24/03/2001,4,19,25,28,39,41
31/03/2001,1,6,13,18,25,41
07/04/2001,1,3,15,18,27,37
14/04/2001,3,6,13,24,29,31
21/04/2001,4,14,15,17,21,25
28/04/2001,1,10,19,33,36,40
05/05/2001,5,10,21,26,34,40
12/05/2001,4,6,15,20,32,43
19/05/2001,1,18,19,21,39,43
26/05/2001,17,24,30,38,43,44
02/06/2001,8,15,23,29,30,37
09/06/2001,6,7,12,13,16,25
16/06/2001,3,10,11,14,36,41
23/06/2001,2,5,15,21,31,41
30/06/2001,9,28,33,34,38,45
07/07/2001,12,20,23,32,37,40
11/07/2001,9,11,21,34,39,42
14/07/2001,8,24,33,36,38,44
18/07/2001,14,18,21,22,28,34
21/07/2001,9,18,21,28,41,43
25/07/2001,5,10,18,24,30,44
28/07/2001,11,12,21,36,40,41
01/08/2001,13,19,21,24,40,43
04/08/2001,11,15,26,32,35,36
08/08/2001,10,11,21,30,44,45
11/08/2001,13,16,21,25,29,43
15/08/2001,3,12,14,37,40,44
18/08/2001,1,16,19,25,38,44
22/08/2001,2,4,9,16,17,23
25/08/2001,4,5,8,13,15,36

